Product Title,Price,Rating,Reviews,Product URL
,,,,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo3NjE4ODY5MTg1MTQ0MzU2OjE2NzU0MjQzNjg6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_86_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675424368%26sprefix%3Dba%252Caps%252C283%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
,,,,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3KCN32/ref=sr_1_81?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-81
,,,,https://www.amazon.in/ALIZA-Womens-Tote-Bag-Black/dp/B08JJ8RQNR/ref=sr_1_82?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-82
,,,,https://www.amazon.in/Tabelito-Office-Laptop-Briefcase-Women/dp/B08FKXCJNQ/ref=sr_1_83?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-83
Protecta The Professional Laptop Bag Briefcase for Laptops with Screen Size Up to 15.6 Inch (Black & Indian Geometric Print),699.,4.4 out of 5 stars,"['1,382', 'ratings']",https://www.amazon.in/Protecta-Professional-15-6-inch-Briefcase-Geometric/dp/B07GNCRCP4/ref=sr_1_84?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-84
,,,,https://www.amazon.in/American-Tourister-Polypropylene-LG4-08/dp/B0BB2LX7LW/ref=sr_1_85?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-85
,,,,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ/ref=sr_1_86?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-86
,,,,https://www.amazon.in/YuvKuz-TM-Infocus-Digitizer-Assembly/dp/B07MXNWTB2/ref=sr_1_87?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-87
,,,,https://www.amazon.in/Gear-Polyester-Travel-Duffle-DUFCRSTNG0406/dp/B075MMWRW6/ref=sr_1_88?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-88
,,,,https://www.amazon.in/Alifiya-Polyester-MacBook-Charger-Grey_L26/dp/B09GP79C4C/ref=sr_1_89?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-89
"SHALIMAR large capacity Travel bag / Storage bag / Move-in bags/ Duffel Bag - Strong, Durable , Foldable and Water Resistant ( Pack of 1 ) ( Blue )",247.,4.1 out of 5 stars,"['270', 'ratings']",https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7/ref=sr_1_90?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-90
,,,,https://www.amazon.in/SIDRUM-Shoulder-Adjustable-Compatible-Mirrorless/dp/B09SHTBFQF/ref=sr_1_91?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-91
,,,,https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5/ref=sr_1_92?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-92
,,,,https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_93?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-93
,,,,https://www.amazon.in/Fostelo-Style-Diva-Womens-Handbag/dp/B00Z0NMFKU/ref=sr_1_94?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-94
,,,,https://www.amazon.in/Veneer-Business-Briefcase-Resistant-Messenger/dp/B08Z619V6Z/ref=sr_1_95?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-95
,,,,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_96?crid=2M096C61O4MLT&keywords=bags&qid=1675424369&sprefix=ba%2Caps%2C283&sr=8-96
,,,,https://www.amazon.in/Wildcraft-Wolf_Blk-Casual-Backpack-11629-Wolf_Blk/dp/B079DDT65R/ref=sr_1_97?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-97
,,,,https://www.amazon.in/House-Quirk-Hanging-Toiletry-Organizer/dp/B072MH8KBB/ref=sr_1_98?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-98
,,,,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP/ref=sr_1_99?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-99
,,,,https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_100?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-100
Wesley office Laptop Bag briefcase notebook professional business 15.6 Inch Briefcase messenger sling Water resistant Laptop Bag Tablet Business Carrying Handbag for Women and Men (Charcoal Black),471.,4.0 out of 5 stars,"['1,064', 'ratings']",https://www.amazon.in/Wesley-briefcase-professional-Briefcase-messenger/dp/B0BJVDN7VT/ref=sr_1_101?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-101
,,,,https://www.amazon.in/Genie-Spritz-Daypack-Fashion-Backpack/dp/B083ZDT8SD/ref=sr_1_102?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-102
,,,,https://www.amazon.in/Red-Lemon-Polyester-15-6-inch-Waterproof/dp/B07XYY2FW4/ref=sr_1_103?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-103
,,,,https://www.amazon.in/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9/ref=sr_1_104_mod_primary_new?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-104
,,,,https://www.amazon.in/Pigeon-Breast-Milk-Storage-Pieces/dp/B01M5DGMZ9/ref=sr_1_104_mod_new?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=8-104
,,,,https://www.amazon.in/Isle-Locada-Hidesign-Womens-Purple/dp/B07T97R1H1/ref=sr_1_105?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-105
,,,,https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZZ57FT/ref=sr_1_106?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-106
,,,,https://www.amazon.in/Genie-Clara-Backpack-Women-compartments/dp/B097JJGR1N/ref=sr_1_107?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-107
,,,,https://www.amazon.in/F-Gear-Enzo-Red-Sports-Waist-Bag/dp/B0862LF7HS/ref=sr_1_108?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-108
,,,,https://www.amazon.in/PALAY%C2%AE-Crossbody-Mobile-Leather-Shoulder/dp/B09GYGRB56/ref=sr_1_109?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-109
,,,,https://www.amazon.in/Nivia-5177BK-Polyester-String-Black/dp/B071XM6PSM/ref=sr_1_110?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-110
"Amazon Brand - Solimo Laptop Backpack for 15.6-inch Laptops (27 litres, Black)",449.,3.8 out of 5 stars,"['1,215', 'ratings']",https://www.amazon.in/Amazon-Brand-Backpack-15-6-inch-Laptops/dp/B076QFBFRG/ref=sr_1_111?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-111
,,,,https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_112?crid=2M096C61O4MLT&keywords=bags&qid=1675424370&sprefix=ba%2Caps%2C283&sr=8-112
"Genie Camellia School Bag for Girls, 17 inch Backpack for Women, 3 compartments Water Resistant Stylish and Trendy College Backpacks for Girls",684.,4.2 out of 5 stars,"['2,866', 'ratings']",https://www.amazon.in/Genie-Ltrs-School-Backpack-CAMELLIA17SBPIN/dp/B07QHMKHWH/ref=sr_1_113?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-113
,,,,https://www.amazon.in/Alifiya-Polyester-MacBook-Charger-Grey_L26/dp/B09GP79C4C/ref=sr_1_114?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-114
,,,,https://www.amazon.in/Lavie-Faroe-Womens-Satchel-Brown/dp/B07SNGMP5L/ref=sr_1_115?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-115
HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black),899,4.0 out of 5 stars,"['516', 'ratings']",https://www.amazon.in/HP-Lightweight-100-Black-Backpack/dp/B08CY1YXCK/ref=sr_1_116?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-116
,,,,https://www.amazon.in/TRAWOC-Backpack-Trekking-Rucksack-Warranty/dp/B0847PGZZM/ref=sr_1_117?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-117
"SACCI MUCCI Women's Rainbow Sling Bag, Handmade Bags for Females - 100% Vegan Leather and Coated Duck canvas Fabric, Lightweight and Durable",449.,4.3 out of 5 stars,"['557', 'ratings']",https://www.amazon.in/SACCI-MUCCI-Allamanda-Lightweight-SM1-10_magnolia/dp/B09TDNZ88Z/ref=sr_1_118?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-118
Wildcraft Turnaround Polyester 14 inch 27 Ltrs Blue Laptop Bag (8903340000000),"1,695",4.3 out of 5 stars,"['3,184', 'ratings']",https://www.amazon.in/Wildcraft-Turnaround-Polyester-Laptop-8903340000000/dp/B012D4QWES/ref=sr_1_119?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-119
,,,,https://www.amazon.in/Safari-Overnighter-Resistant-Travelling-All-Purpose/dp/B097JMR4M6/ref=sr_1_120?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-120
,,,,https://www.amazon.in/LL-LEATHER-LAND-DESIGNER-BAGS/dp/B0BD4TTDHD/ref=sr_1_121?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-121
,,,,https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KSBHC18/ref=sr_1_122?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-122
,,,,https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_123?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-123
,,,,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG/ref=sr_1_124?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-124
,,,,https://www.amazon.in/Trajectory-Elegant-15-6-Laptop-Office/dp/B09RK6NCGC/ref=sr_1_125?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-125
,,,,https://www.amazon.in/AmazonBasics-Casual-Backpack-Office-15-6-inch/dp/B09W4VMZ79/ref=sr_1_126?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-126
,,,,https://www.amazon.in/ASTRID-Blue-Textured-Cotton-Pouch/dp/B08W431L94/ref=sr_1_127?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-127
"House of Quirk Hanging Travel Toiletry Bag, Waterproof Dopp Kit for Shaving Makeup Accessories, Men Cosmetic Organizer with Large Capacity, for Gym, Camping - Black",399.,4.0 out of 5 stars,"['1,922', 'ratings']",https://www.amazon.in/House-Quirk-Hanging-Toiletry-Organizer/dp/B072MH8KBB/ref=sr_1_128?crid=2M096C61O4MLT&keywords=bags&qid=1675424371&sprefix=ba%2Caps%2C283&sr=8-128
Lavie Women's Nova Tote Bag | Ladies Purse Handbag,824.,4.2 out of 5 stars,"['7,318', 'ratings']",https://www.amazon.in/YuvKuz-TM-Infocus-Digitizer-Assembly/dp/B07MXNWTB2/ref=sr_1_129?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-129
,,,,https://www.amazon.in/Gear-Black-Casual-Backpack-MDBKPECO50104/dp/B0757MBSS6/ref=sr_1_130?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-130
,,,,https://www.amazon.in/Resistant-Outdoor-Shoulder-Unbalance-Earphone/dp/B07TT785P7/ref=sr_1_131?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-131
,,,,https://www.amazon.in/ASTRID-Black-Textured-Laptop-Accessory/dp/B09Z2G37YY/ref=sr_1_132?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-132
,,,,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B085S444JV/ref=sr_1_133?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-133
DZert Kids School Bag Soft Plush Backpacks Cartoon Boys Girls Baby (2-5 Years),239,3.7 out of 5 stars,"['10,953', 'ratings']",https://www.amazon.in/DZert-Panda-School-Backpacks-Cartoon/dp/B07Y2BFJ1B/ref=sr_1_134?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-134
"R for Rabbit Caramello Delight Diaper Bag Backpack -Multi-Function Waterproof Mother Bag for Travel with Baby - Large Capacity, Durable and Stylish.(Grey Black)","1,999.",4.4 out of 5 stars,"['790', 'ratings']",https://www.amazon.in/Rabbit-Caramello-Backpack-Multi-Function-Waterproof/dp/B07FHXNPCH/ref=sr_1_135?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-135
,,,,https://www.amazon.in/Tabelito-Laptop-Backpack-15-6-inch-Repellent/dp/B08Y3L4PHK/ref=sr_1_136?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-136
,,,,https://www.amazon.in/American-Tourister-Polypropylene-LG4-002_Crimson/dp/B0BB2LKNXG/ref=sr_1_137?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-137
,,,,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_138?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-138
"Sfane Polyester 9.05 Black Men & Women Trendy Black Sports Duffle Gym Bag, Shoulder Bag",299.,4.2 out of 5 stars,"['903', 'ratings']",https://www.amazon.in/Sfane-Women-Trendy-Black-Duffel/dp/B07GCR84D9/ref=sr_1_139?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-139
,,,,https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_140?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-140
,,,,https://www.amazon.in/Baggit-Womens-Hobo-Handbag-Green/dp/B097C2T2DS/ref=sr_1_141?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-141
AUXTER Red Polyester Avenger Captain America Shield school Bag casual Backpack Daypack,529.,4.4 out of 5 stars,"['3,276', 'ratings']",https://www.amazon.in/Polyester-Avengers-Captain-America-Backpack/dp/B01M7R5KMW/ref=sr_1_142?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-142
,,,,https://www.amazon.in/Lunars-Travel-Laptop-Bag-compartments/dp/B08NHL52MK/ref=sr_1_143?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-143
,,,,https://www.amazon.in/ADISA-SL5038-women-girls-sling/dp/B08Q4FHQLN/ref=sr_1_144?crid=2M096C61O4MLT&keywords=bags&qid=1675424372&sprefix=ba%2Caps%2C283&sr=8-144
,,,,https://www.amazon.in/F-Gear-Luxur-Brown-Backpack/dp/B01F7AX9ZA/ref=sr_1_145?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-145
,,,,https://www.amazon.in/Lunars-Travel-Laptop-Bag-compartments/dp/B08NHL52MK/ref=sr_1_146?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-146
,,,,https://www.amazon.in/ADISA-SL5022-black-women-girls/dp/B07NPXWFXX/ref=sr_1_147?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-147
"AirCase Office Messenger Sling Bag fits upto 15.6"" Laptop/Macbook, Detachable Shoulder Strap, Waterproof, Shockproof, Carry Handle with Spacious Pockets, For Men & Women",949.,4.0 out of 5 stars,"['572', 'ratings']",https://www.amazon.in/AirCase-C25-Messenger-Shoulder-Compartments/dp/B07X6DV3VM/ref=sr_1_148?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-148
,,,,https://www.amazon.in/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_149?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-149
,,,,https://www.amazon.in/Bennett-15-6-inch-Repellent-Backpack-ben_cas_blue/dp/B09WZKB54G/ref=sr_1_150?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-150
,,,,https://www.amazon.in/Polyester-Avengers-Captain-America-Backpack/dp/B01M7R5KMW/ref=sr_1_151?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-151
Red Lemon Polyester Bange Series 15.6inch Laptop Bag for Men 35 LTR Capacity Daily Office Bag for Men and Women Black (1903),"2,849.",4.2 out of 5 stars,"['152', 'ratings']",https://www.amazon.in/Red-Lemon-Polyester-15-6-inch-Waterproof/dp/B07XYY2FW4/ref=sr_1_152?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-152
,,,,https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4/ref=sr_1_153?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-153
POLICE Backpack for Men Casual Laptop Bag Office / Travel / College 30 Ltr Hedge Polyester - Black,"1,399",4.2 out of 5 stars,"['5,146', 'ratings']",https://www.amazon.in/Police-Polyester-laptop-casual-backpack/dp/B09CQ5T3LN/ref=sr_1_154?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-154
,,,,https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY/ref=sr_1_155?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-155
,,,,https://www.amazon.in/Storite-Leather-Laptop-Bag-inch/dp/B081GQJLD2/ref=sr_1_156?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-156
,,,,https://www.amazon.in/Storage-Disposable-Freezer-Feeding-Transparent/dp/B099ZVTNCP/ref=sr_1_157?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-157
,,,,https://www.amazon.in/Gear-Clubsport-Faux-Leather-Black-Red-DUFCLBSRT0109/dp/B097KCLVCP/ref=sr_1_158?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-158
"Chic Buddy Waterproof Wet Bag, Washable, Reusable for Travel, Beach, Pool, Stroller, Diapers, Dirty Gym Clothes, Wet Swimsuits, Toiletries",315.,4.5 out of 5 stars,"['256', 'ratings']",https://www.amazon.in/Chic-Buddy-Waterproof-Swimsuits-Toiletries/dp/B09KS97LZH/ref=sr_1_159?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-159
"Lenovo 15.6"" Professional Backpack, Made in India, Water-resistant,Uncompromised storage, Travel friendly:Fleece-lined PC compartment,Vented,Padded BackPanel & Adjustable shoulder straps,Luggage strap","1,337",4.2 out of 5 stars,"['696', 'ratings']",https://www.amazon.in/Lenovo-Professional-Backpack-Water-resistant-Uncompromised/dp/B08R7S55H4/ref=sr_1_160?crid=2M096C61O4MLT&keywords=bags&qid=1675424373&sprefix=ba%2Caps%2C283&sr=8-160
